"","R-18_Baseline","R-5_Baseline","R-12_Baseline","R-20_Baseline","R-2_Baseline","R-14_Baseline","R-6_Baseline","R-8_Baseline","R-17_Baseline","R-24_Baseline","R-9_Baseline","R-15_Baseline","R-10_Baseline","R-4_Baseline"
"BMP6",-0.999900704422648,2.43406001376328,-0.220073113943737,-0.764976104907762,0.817694183867656,1.42470038944266,-1.04948132152358,0.623548301662668,-0.27441257046451,-0.367450555600924,0.0273174978334349,-0.848690293758773,-0.408109474092557,-0.394226247855209
"ATP1A2",0.147015974055845,-1.44616023148605,-0.0901167683418968,-0.879870935549008,-1.08596710611367,-1.07121669559382,1.78942749030367,-0.480696371023411,0.332494477946688,0.255309323980677,-0.00777672190164287,1.85457127692503,-0.156652328867506,0.839638615665083
"CLEC4E",-0.888566405489949,1.25752431979005,-0.507736693590845,-0.302633704140863,2.21876634574402,0.806916854070537,-0.538840493293305,0.902089348562769,-0.122455016660502,-0.447344441748584,0.295105530269039,-1.23701509422973,-1.32550859019614,-0.11030195908649
"LY75",0.0136117189208719,0.640843087189127,-1.23279672523287,-0.351239464326586,1.22944494274038,1.7787503826579,-1.12921870290887,0.648577791990719,0.762928177211404,-0.503943998129736,0.511410098290197,-1.58625176534413,-0.963375794788529,0.181260251730119
"FCRL3",0.0508487434026092,-0.225450253593739,-0.662829778770294,-0.281172559159763,1.53077799121629,2.80621139160835,-0.589464933260658,0.0115696949734353,-0.297080219273838,-0.118982170466539,-0.115211062756015,-1.03388397176713,-0.314389249565725,-0.76094362258699
"LOC151174",0.0544872108080618,2.48441005957537,-0.668361464431048,-0.218508607082554,0.47672231750075,1.42699467749328,-1.03842634409485,0.0466594276413552,-0.503273039557833,-0.41486490750296,-0.157862529371449,-0.864710114972789,-1.20436199815411,0.581095312148766
"LOC101928871",1.52477309863018,-0.689111491838813,-0.343599136847459,-0.302486460216741,1.73787490374062,1.47273335112751,-0.806258809825593,0.591396720598786,-1.29140813142001,-0.0548760726340434,0.370849950278792,-0.899784643135025,-1.05853902126176,-0.251564257196451
"EYA2",-0.898193411284098,-1.54007637943002,0.26093635109735,-0.106487885280578,-1.35410872652621,-0.960194038488945,1.31416073996456,0.561115986389199,-0.365092720488264,1.4627613418646,1.05654833759579,-0.339883999816578,1.17086556268985,-0.262351158286654
"PAPSS2",-0.648849941658105,-0.1472881019768,-1.01508732271602,0.450096111058843,-0.35726717961748,-0.942997819326723,1.62227100722871,-0.919784467400801,0.801589789771367,-0.162850441671544,-0.138773881724649,2.37056118766157,-0.225320601986895,-0.686298337641472
"KCNS3",0.0851001163821241,-0.620637933071737,0.466681182405586,0.394085705678567,-1.62482899552095,-2.31752292580448,1.28213507986152,0.0588373837257335,-0.287391368515049,-0.0193900238648143,0.253974798274068,1.28937845869702,0.183763853603726,0.855814668148667
"C12orf55",1.22125311205905,-0.676835527918509,-0.44598451825546,-0.0145267539286615,1.76191651512388,1.6863588347924,-0.809518043844328,0.53821801171488,-1.28573569210899,-0.597153448653882,0.553180684794453,-0.915733903383649,-0.887405591594527,-0.128033678796647
